life,tv
Routine,2
Exciting,1
Exciting,2
Dull,10
Routine,2
Routine,5
Routine,2
Routine,2
Routine,3
Routine,1
Routine,4
Routine,3
Routine,1
Exciting,1
Dull,1
Exciting,2
Routine,3
Dull,2
Exciting,2
Routine,5
Exciting,2
Exciting,1
Exciting,1
Exciting,3
Routine,1
Exciting,0
Exciting,1
Exciting,3
Routine,3
Routine,2
Routine,4
Routine,2
Routine,4
Routine,1
Exciting,4
Routine,2
Exciting,3
Exciting,2
Exciting,1
Exciting,3
Exciting,2
Exciting,4
Routine,4
Exciting,0
Exciting,4
Exciting,1
Exciting,2
Exciting,2
Exciting,1
Don't know,5
Exciting,3
Exciting,4
Exciting,3
Exciting,1
Routine,2
Exciting,4
Exciting,2
Routine,4
Exciting,2
Exciting,0
Exciting,1
Dull,4
Routine,3
Exciting,2
Exciting,2
Exciting,1
Exciting,4
Exciting,2
Routine,2
Exciting,1
Routine,2
Routine,2
Routine,2
Exciting,2
Routine,8
Exciting,2
Exciting,1
Routine,1
Exciting,1
Dull,5
Routine,4
Exciting,2
Routine,2
Exciting,0
Exciting,3
Exciting,1
Exciting,2
Routine,1
Routine,5
Exciting,1
Exciting,1
Exciting,2
Exciting,1
Routine,1
Routine,1
Exciting,1
Exciting,6
Exciting,4
Routine,1
Exciting,1
Routine,0
Routine,3
Routine,2
Exciting,4
Exciting,2
Dull,8
Routine,6
Exciting,1
Routine,1
Routine,3
Routine,1
Exciting,0
Exciting,2
Routine,2
Routine,2
Exciting,2
Exciting,6
Routine,4
Exciting,2
Routine,2
Exciting,1
Exciting,2
Routine,2
Exciting,3
Routine,1
Exciting,3
Routine,4
Routine,6
Routine,4
Routine,4
Exciting,4
Exciting,3
Dull,1
Routine,5
Exciting,4
Routine,1
Exciting,3
Routine,3
Exciting,2
Exciting,3
Routine,5
Routine,2
Exciting,5
Exciting,1
Exciting,4
Routine,3
Routine,1
Routine,6
Exciting,5
Exciting,1
Exciting,1
Routine,2
Routine,7
Exciting,1
Routine,4
Exciting,5
Exciting,3
Exciting,2
Routine,2
Exciting,0
Routine,1
Routine,3
Exciting,2
Exciting,2
Exciting,1
Dull,2
Don't know,3
Routine,2
Routine,4
Exciting,1
Exciting,14
Exciting,2
Exciting,10
Exciting,1
Routine,5
Routine,3
Routine,2
Don't know,2
Routine,0
Routine,4
Routine,8
Routine,1
Exciting,1
Exciting,4
Routine,2
Routine,4
Exciting,4
Exciting,4
Routine,2
Routine,4
Don't know,5
Exciting,0
Exciting,1
Exciting,2
Routine,3
Routine,2
Routine,10
Exciting,3
Exciting,1
Routine,2
Routine,2
Exciting,3
Routine,1
Routine,1
Exciting,3
Exciting,5
Exciting,1
Exciting,5
Exciting,6
Exciting,3
Routine,3
Exciting,2
Exciting,1
Exciting,2
Exciting,0
Exciting,2
Routine,1
Routine,2
Exciting,3
Exciting,2
Exciting,0
Routine,5
Routine,2
Exciting,2
Exciting,3
Exciting,2
Exciting,2
Exciting,1
Routine,3
Exciting,2
Routine,5
Routine,3
Exciting,0
Exciting,4
Exciting,1
Exciting,6
Exciting,0
Routine,2
Exciting,2
Exciting,4
Routine,2
Routine,7
Routine,6
Exciting,3
Dull,2
Routine,2
Routine,1
Routine,3
Routine,1
Exciting,2
Routine,6
Routine,1
Routine,2
Exciting,3
Routine,2
Exciting,0
Routine,2
Routine,2
Routine,3
Exciting,2
Routine,2
Exciting,2
Routine,3
Exciting,1
Exciting,2
Routine,0
Routine,2
Exciting,1
Routine,2
Exciting,2
Dull,2
Routine,1
Exciting,2
Routine,3
Routine,5
Exciting,2
Routine,12
Exciting,1
Routine,18
Dull,1
Exciting,5
Routine,4
Exciting,3
Exciting,1
Routine,3
Exciting,2
Exciting,1
Routine,3
Routine,1
Exciting,2
Routine,1
Routine,2
Routine,1
Dull,4
Routine,1
Routine,2
Routine,5
Exciting,5
Exciting,1
Exciting,1
Exciting,6
Exciting,5
Exciting,2
Exciting,0
Dull,2
Exciting,4
Dull,3
Routine,3
Exciting,2
Exciting,1
Exciting,1
Exciting,0
Exciting,1
Exciting,5
Routine,3
Exciting,2
Routine,12
Routine,1
Exciting,1
Routine,1
Exciting,2
Routine,1
Exciting,1
Exciting,2
Exciting,2
